"Branch","CODE","TITLE","PaperID","Scheme","Semester","Day and Date of Exam","Session (M/E)","Start time, Time window 3 hours, Duration 2 hours"
"ECE","BTEC-604","VLSI Design","A2318",,6,"Monday, November 9, 2020","M","10:00 AM"
"ECE","EC-14603","Wireless and Mobile Communication Systems",15596,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"EE","EE-14401","Asynchronous Machines",15352,,4,"Wednesday, October 28, 2020","E","2:00 PM"
"EE","BTEE-401","Asynchronous Machines","A1209",,4,"Wednesday, October 28, 2020","E","2:00 PM"
"EE","BTEE-301","Circuit Theory","A1134",,3,"Wednesday, October 21, 2020","E","2:00 PM"
"EE","DEEE-14602","Computer Aided Electrical Machine Design",15589,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"EE","BTEE-605A","Computer Aided Electrical Machine Design","A2339",,6,"Tuesday, October 27, 2020","M","10:00 AM"
"EE","EE-14402","Control Systems",15353,,4,"Thursday, October 29, 2020","E","2:00 PM"
"EE","BTEE-402","Control Systems","A1188",,4,"Thursday, October 29, 2020","E","2:00 PM"
"EE","EE-14405","Digital Electronics",15356,,4,"Tuesday, November 3, 2020","E","2:00 PM"
"EE","BTEC-404","Digital Electronics","A1207",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"EE","BTEE-601","Electric Power Utilization","A2334",,6,"Tuesday, November 10, 2020","M","10:00 AM"
"EE","EE-14602","Electrical Drives and Utilization",15585,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"EE","EE-14603","Electrical Generation and Economics",15586,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"EE","BTEE-303","Electrical Measurements & Instrumentation","A1136",,3,"Friday, October 23, 2020","E","2:00 PM"
"EE","EE-14303","Electrical Measurements & Measuring Instruments",15293,,3,"Friday, October 23, 2020","E","2:00 PM"
"EE","EE-14403","Electromagnetic Field Theory",15354,,4,"Friday, November 6, 2020","E","2:00 PM"
"EE","BTEE-403","Electromagnetic Field Theory","A1206",,4,"Friday, November 6, 2020","E","2:00 PM"
"EE","BTEE-403","Electromagnetic Fields","A1206",,4,"Friday, November 6, 2020","E","2:00 PM"
"EE","EE-14305","Electronic Devices and Circuits",15295,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"EE","BTEE-304","Electronic Devices and Circuits","A1137",,3,"Tuesday, October 27, 2020","E","2:00 PM"
"EE","DEEE-14504","Energy Auditing and Management",15526,,5,"Thursday, November 5, 2020","M","10:00 AM"
"EE","EE-14301","Engineering Mathematics-III",15291,,3,"Thursday, October 22, 2020","E","2:00 PM"
"EE","BTAM-301","Engineering Mathematics-III","A1128",,3,"Thursday, October 22, 2020","E","2:00 PM"
"EE","EE-14301","Engineering Mathematics-III (Batch 2017 Onwards)","BEE14301",,3,"Thursday, October 22, 2020","E","2:00 PM"
"EE","BTEE-802","High Voltage Engineering","A3033",,8,"Friday, October 16, 2020","E","2:00 PM"
"EE","EE-14503","Industrial Electronics",15440,,5,"Monday, November 2, 2020","M","10:00 AM"
"EE","EE-14504","Instrumentation Engineering",15441,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"EE","BTEE-402","Linear Control Systems","A1188",,4,"Thursday, October 29, 2020","E","2:00 PM"
"EE","BTEE-604","Microcontroller and PLC","A2337",,6,"Monday, October 26, 2020","M","10:00 AM"
"EE","EE-14604","Microcontroller and Programmable Logic Controllers",15587,,6,"Monday, October 26, 2020","M","10:00 AM"
"EE","OEEC-14601","Microprocessors and Microcontrollers",15541,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","EE-14302","Network Analysis and Synthesis",15292,,3,"Wednesday, October 21, 2020","E","2:00 PM"
"EE","BTEE-603","Non-Linear & Digital Control Systems","A2336",,6,"Wednesday, November 11, 2020","M","10:00 AM"
"EE","EE-14502","Numerical & Statistical Techniques",15439,,5,"Friday, November 6, 2020","M","10:00 AM"
"EE","EE-14406","Object Oriented Programing",15357,,4,"Wednesday, November 4, 2020","E","2:00 PM"
"EE","OECS-14602","Object Oriented Programming using JAVA",15538,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","BTEE-504","Power Electronics","A2110",,5,"Monday, November 2, 2020","M","10:00 AM"
"EE","BTEE-406","Power Plant Engineering","A2021",,4,"Wednesday, November 4, 2020","E","2:00 PM"
"EE","BTEE-801","Power System Analysis","A3032",,7,"Monday, October 19, 2020","E","2:00 PM"
"EE","BTEE-801","Power System Analysis","A3032",,8,"Monday, October 19, 2020","E","2:00 PM"
"EE","EE-14404","Power System I (Transmission & Distribution)",15355,,4,"Monday, November 2, 2020","E","2:00 PM"
"EE","BTEE-405","Power System I (Transmission & Distribution)","A1208",,4,"Monday, November 2, 2020","E","2:00 PM"
"EE","DEEE-14601","Power System Operation and Control",15588,,6,"Tuesday, October 27, 2020","M","10:00 AM"
"EE","BTEE-405","Power System-I (Transmission & Distribution)","A1208",,4,"Monday, November 2, 2020","E","2:00 PM"
"EE","BTEE-602","Power System-II (Switch Gear & Protection)","A2335",,6,"Monday, November 9, 2020","M","10:00 AM"
"EE","EE-14601","Power System-II (Switchgear and Protection)",15584,,6,"Monday, November 9, 2020","M","10:00 AM"
"EE","OECE-14602","Project Monitoring and Management",15536,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","DEEE-14501","Renewable Energy Resources",15527,,5,"Thursday, November 5, 2020","M","10:00 AM"
"EE","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","EE-14501","Synchronous Machines",15438,,5,"Thursday, October 29, 2020","M","10:00 AM"
"EE","BTEE-501","Synchronous Machines","A2107",,5,"Thursday, October 29, 2020","M","10:00 AM"
"EE","OEME-14601","Total Quality Management",15545,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"EE","EE-14304","Transformers & Direct Current Machines",15294,,3,"Monday, October 26, 2020","E","2:00 PM"
"EE","BTEE-302","Transformers & Direct Current Machines","A1135",,3,"Monday, October 26, 2020","E","2:00 PM"
"IT","BTCS-913","Compiler Design","A2995",,7,"Wednesday, October 14, 2020","E","2:00 PM"
"IT","IT-14405","Computer Architecure and Microprocessors",15336,,4,"Monday, October 26, 2020","E","2:00 PM"
"IT","IT-14403","Data Communication and Computer Networks",15334,,4,"Thursday, October 22, 2020","E","2:00 PM"
"IT","IT-14303","Data Structures and Programming Methodology",15213,,3,"Tuesday, October 20, 2020","E","2:00 PM"
"IT","IT-14401","Database Management system",15333,,4,"Wednesday, October 21, 2020","E","2:00 PM"
"IT","BTCS-303","Digital Circuits & Logic Design","A1125",,3,"Friday, October 23, 2020","E","2:00 PM"
"IT","CS-14303","Digital Circuits and Logic Design",15232,,3,"Friday, October 23, 2020","E","2:00 PM"
"IT","IT-14501","Discrete Mathematics",15403,,5,"Thursday, October 29, 2020","M","10:00 AM"
"IT","BTCS-402","Discrete Structures","A2305",,4,"Wednesday, October 28, 2020","E","2:00 PM"
"IT","IT-14504","Human Computer Interaction",15406,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"IT","IT-14601","Information Assurance and Security",15608,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"IT","DEIT-14615","Information Storage and Management",15618,,6,"Monday, November 9, 2020","M","10:00 AM"
"IT","BTAM-302","Mathematics-III","A2143",,3,"Thursday, October 22, 2020","E","2:00 PM"
"IT","CS-14305","Object Oriented Programming using C++",15234,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"IT","CS-14402","Operating System",15324,,4,"Thursday, October 29, 2020","E","2:00 PM"
"IT","IT-14603","Probability and Statistics",15620,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"IT","IT-14502","Programming in Java",15404,,5,"Friday, November 6, 2020","M","10:00 AM"
"IT","IT-14602","Software Engineering and Testing",15609,,6,"Thursday, November 5, 2020","M","10:00 AM"
"IT","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"IT","IT-14503","Theory of Computation",15405,,5,"Monday, November 2, 2020","M","10:00 AM"
"IT","IT-14404","Web Technologies",15335,,4,"Monday, October 19, 2020","E","2:00 PM"
"M.Tech. (EE)","MTEE-503","Advanced Electrical Machines","BMTEE503",,2,"Tuesday, October 27, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-504","Advanced Power Electronics","BMTEE504",,1,"Wednesday, October 28, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-505","Advanced Relaying and Protection",15398,,4,"Monday, October 19, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-502","Digital Control System",15320,,3,"Thursday, October 15, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-603","Energy Efficient Machines",1426,,2,"Wednesday, October 14, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-603","Energy Efficient Machines",15682,,2,"Wednesday, October 14, 2020","M","10:00 AM"
"M.Tech. (EE)","MTIE-603","Materials Management","BMTIE603",,3,"Tuesday, November 3, 2020","M","10:00 AM"
"M.Tech. (EE)","MTPE-610","Materials Technology","BMTPE610",,5,"Wednesday, November 4, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-617","Optimization Techniques",15400,,4,"Tuesday, October 20, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-501","Power System Analysis & Design","BMTEE501",,1,"Monday, October 26, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-506","Power System Operation and Control",15321,,1,"Friday, October 16, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-506","Power System Operation and Control",15321,,3,"Friday, October 16, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-615","Renewable Energy Resources","BMTEE615",,5,"Monday, November 2, 2020","M","10:00 AM"
"M.Tech. (EE)","MTEE-601","Research Methodology","BMTEE601",,1,"Thursday, October 29, 2020","M","10:00 AM"
"M.Tech. (EVS)","MTEV-16501","Physico-Chemical Treatment Methods",15508,,1,"Friday, November 6, 2020","M","10:00 AM"
"M.Tech. (PE)","MTPE-501","Metal Casting","BMTPE501",,2,"Wednesday, October 21, 2020","M","10:00 AM"
"M.Tech. (PE)","MTPE-502","Metal Cutting","BMTPE502",,3,"Thursday, October 22, 2020","M","10:00 AM"
"M.Tech. (PE)","MTPE-504","Welding Technology","BMTPE504",,3,"Friday, October 23, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTGT-502","Advanced Foundation Engineering","BMTGT502",,3,"Friday, October 16, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTGT-610","Design of Highway and Airport Pavements",15685,,4,"Thursday, October 22, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTGT-620","Highway Materials and Construction","BMTGT620",,5,"Tuesday, October 20, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTPE-610","Materials Technology","BMTPE610",,3,"Wednesday, November 4, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTGT-504","Research Methodology","BMTGT504",,4,"Thursday, October 29, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTGT-506","Site Investigations","BMTGT506",,2,"Thursday, October 15, 2020","M","10:00 AM"
"M.Tech. (Soil)","MTGT-501","Soil Dynamics","BMTGT501",,1,"Wednesday, October 14, 2020","M","10:00 AM"
"M.Tech. (Structural)","MTST-16506","Plastic Analysis and Design of Steel Structures",15669,,2,"Friday, October 16, 2020","M","10:00 AM"
"MBA","MBA-15103","Accounting for Management",15314,,1,"Friday, October 23, 2020","E","2:00 PM"
"MBA","MBA-15902","Advertising Management",15470,,3,"Monday, November 9, 2020","E","2:00 PM"
"MBA","MBA-15301","Applied Operations Research",15467,,3,"Tuesday, November 3, 2020","E","2:00 PM"
"MBA","MBA-105","Business Analytics",1261,,1,"Tuesday, October 20, 2020","E","2:00 PM"
"MBA","MBA-106","Business Communication",1262,,1,"Wednesday, October 21, 2020","E","2:00 PM"
"MBA","MBA-15201","Business Environment",15390,,2,"Wednesday, October 28, 2020","E","2:00 PM"
"MBA","MBA-15901","Consumer Behaviour",15469,,3,"Thursday, November 5, 2020","E","2:00 PM"
"MBA","MBA-15302","Corporate Legal Environment",15468,,3,"Wednesday, November 4, 2020","E","2:00 PM"
"MBA","MBA-15205","Financial Management",15394,,2,"Friday, November 6, 2020","E","2:00 PM"
"MBA","MBA-103","Financial Reporting and Analysis",1259,,1,"Friday, October 16, 2020","E","2:00 PM"
"MBA","MBA-101","Fundamental of Management",1257,,1,"Wednesday, October 14, 2020","E","2:00 PM"
"MBA","MBA-15203","Human Resource Management",15392,,2,"Thursday, October 29, 2020","E","2:00 PM"
"MBA","MBA-102","Managerial Economics",1258,,1,"Thursday, October 15, 2020","E","2:00 PM"
"MBA","MBA-15105","Managerial Economics",15316,,1,"Tuesday, October 27, 2020","E","2:00 PM"
"MBA","MBA-104","Organisational Behaviour and Design",1260,,1,"Monday, October 19, 2020","E","2:00 PM"
"MBA","MBA-15101","Principles and Practices of Management",15312,,1,"Thursday, October 22, 2020","E","2:00 PM"
"MBA","MBA-15104","Quantitative Techniques",15315,,1,"Monday, October 26, 2020","E","2:00 PM"
"MBA","MBA-15206","Research Methodology",15395,,2,"Monday, November 2, 2020","E","2:00 PM"
"MCA","MCA-15302","Computer Based Optimization Techniques",15518,,3,"Thursday, October 15, 2020","E","2:00 PM"
"MCA","MCA-15301","Database Administration",15517,,3,"Wednesday, October 14, 2020","E","2:00 PM"
"MCA","DEMCA-15307","System Programming",15523,,3,"Friday, October 16, 2020","E","2:00 PM"
"ME","BTME-404","Applied Thermodynamics - II","A1214",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"ME","ME-14304","Applied Thermodynamics-I",15242,,3,"Monday, October 26, 2020","E","2:00 PM"
"ME","ME-14404","Applied Thermodynamics-II",15365,,4,"Tuesday, November 3, 2020","E","2:00 PM"
"ME","BTME-404","Applied Thermodynamics-II","A1214",,4,"Tuesday, November 3, 2020","E","2:00 PM"
"ME","BTME-505","Automobile Engineering","A2132",,5,"Friday, November 6, 2020","M","10:00 AM"
"ME","DEME-14616","Composite Materials",15636,,6,"Monday, October 26, 2020","M","10:00 AM"
"ME","ME-14502","Computer aided Design and Manufacturing",15484,,5,"Monday, November 2, 2020","M","10:00 AM"
"ME","BTME-502","Computer aided Design and Manufacturing","A2129",,5,"Monday, November 2, 2020","M","10:00 AM"
"ME","DEME-14204","Computer Aided Process planning",15819,,5,"Monday, November 9, 2020","M","10:00 AM"
"ME","ME-14501","Design of Machine Elements-I",15483,,5,"Friday, November 6, 2020","M","10:00 AM"
"ME","ME-14601","Design of Machine Elements-II",15624,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ME","ME-14306","Engineering Materials & Metallurgy",15244,,3,"Wednesday, October 28, 2020","E","2:00 PM"
"ME","DEME-14309","Finite Element Method",15808,,5,"Friday, October 16, 2020","E","2:00 PM"
"ME","DEME-14309","Finite Element Method",15808,,7,"Friday, October 16, 2020","E","2:00 PM"
"ME","BTME-603","Fluid Machinery","A2363",,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ME","ME-14403","Fluid Mechanics",15364,,4,"Monday, November 2, 2020","E","2:00 PM"
"ME","BTME-403","Fluid Mechanics -I","A1213",,4,"Monday, November 2, 2020","E","2:00 PM"
"ME","DEME-14105","Fluid Mechanics II",15490,,5,"Monday, November 9, 2020","M","10:00 AM"
"ME","ME-14602","Heat Transfer",15625,,6,"Tuesday, November 10, 2020","M","10:00 AM"
"ME","BTME-602","Heat Transfer","A2362",,6,"Tuesday, November 10, 2020","M","10:00 AM"
"ME","ME-14603","Hydraulic Machines",15626,,6,"Wednesday, November 11, 2020","M","10:00 AM"
"ME","ME-14504","Industrial Automation and Robotics",15486,,5,"Thursday, November 5, 2020","M","10:00 AM"
"ME","BTME-504","Industrial Automation and Robotics","A2131",,5,"Thursday, November 5, 2020","M","10:00 AM"
"ME","ME-14303","Machine Drawing",15241,,3,"Friday, October 23, 2020","E","2:00 PM"
"ME","ME-14305","Manufacturing Processes-I",15243,,3,"Tuesday, October 27, 2020","E","2:00 PM"
"ME","ME-14405","Manufacturing Processes-II",15366,,4,"Wednesday, November 4, 2020","E","2:00 PM"
"ME","ME-14500","Mathematics-III",15482,,5,"Thursday, October 29, 2020","M","10:00 AM"
"ME","BTAM-500","Mathematics-III","A2127",,5,"Thursday, October 29, 2020","M","10:00 AM"
"ME","ME-14503","Mechanical Measurement and Metrology",15485,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"ME","OEEC-14601","Microprocessors and Microcontrollers",15541,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ME","BTME-802","Refrigration & Air Conditioning","A3063",,7,"Wednesday, October 14, 2020","E","2:00 PM"
"ME","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"ME","BTME-604","Statistical and Numerical Methods in Engineering","A2364",,6,"Wednesday, November 11, 2020","M","10:00 AM"
"ME","BTME-301","Strength of Materials- I","A1138",,3,"Wednesday, October 21, 2020","E","2:00 PM"
"ME","ME-14301","Strength of Materials-I",15239,,3,"Wednesday, October 21, 2020","E","2:00 PM"
"ME","ME-14401","Strength of Materials-II",15362,,4,"Friday, November 6, 2020","E","2:00 PM"
"ME","BTME-402","Theory of Machines - II","A1212",,4,"Thursday, October 29, 2020","E","2:00 PM"
"ME","ME-14302","Theory of Machines-I",15240,,3,"Thursday, October 22, 2020","E","2:00 PM"
"ME","BTME-302","Theory of Machines-I","A1139",,3,"Thursday, October 22, 2020","E","2:00 PM"
"ME","ME-14402","Theory of Machines-II",15363,,4,"Thursday, October 29, 2020","E","2:00 PM"
"PE","PE-14401","Design of Machine Elements",15342,,4,"Wednesday, October 21, 2020","E","2:00 PM"
"PE","PE-14404","Engineering Materials and Metallurgy.",15345,,4,"Monday, October 26, 2020","E","2:00 PM"
"PE","PE-14503","Engineering Metrology",15449,,5,"Tuesday, November 3, 2020","M","10:00 AM"
"PE","PE-14402","Fluid Mechanics & Fluid Machinery",15343,,4,"Thursday, October 22, 2020","E","2:00 PM"
"PE","PE-14601","Industrial Engineering",15638,,6,"Monday, November 9, 2020","M","10:00 AM"
"PE","PE-14405","Industrial Organization and Management",15346,,4,"Tuesday, October 27, 2020","E","2:00 PM"
"PE","DEPE-14925","Inspection and Quality Control",15643,,5,"Thursday, October 29, 2020","M","10:00 AM"
"PE","PE-14302","Machine Drawing",15221,,3,"Thursday, October 15, 2020","E","2:00 PM"
"PE","PE-14502","Machining Science",15448,,5,"Monday, November 2, 2020","M","10:00 AM"
"PE","PE-14305","Manufacturing Processes-I",15224,,3,"Tuesday, October 20, 2020","E","2:00 PM"
"PE","PE-14403","Manufacturing Processes-II",15344,,4,"Friday, October 23, 2020","E","2:00 PM"
"PE","DEPE-14921","Material Management",15828,,6,"Thursday, November 5, 2020","M","10:00 AM"
"PE","PE-14504","Metal Forming",15450,,5,"Wednesday, November 4, 2020","M","10:00 AM"
"PE","BTPE-501","Operation Research","A2133",,5,"Friday, November 6, 2020","M","10:00 AM"
"PE","PE-14501","Operations Research",15447,,5,"Friday, November 6, 2020","M","10:00 AM"
"PE","OECS-14601","Software Project Management",15537,,6,"Wednesday, November 4, 2020","M","10:00 AM"
"PE","PE-14301","Strength of Materials",15220,,3,"Wednesday, October 14, 2020","E","2:00 PM"
"PE","BTPE-301","Strength of Materials","A1145",,3,"Wednesday, October 14, 2020","E","2:00 PM"
"PE","PE-14304","Theory of Mechanics",15223,,3,"Monday, October 19, 2020","E","2:00 PM"
"PE","PE-14303","Thermal Engineering",15222,,3,"Friday, October 16, 2020","E","2:00 PM"
"PE","PE-14603","Tool and Cutter Design",15640,,6,"Tuesday, November 10, 2020","M","10:00 AM"
